score,steps
86,2302
87,2311
88,2315
89,2319
90,2325
91,2326
92,2329
93,2333
94,2335
95,2337
96,2338
97,2339
1,41
2,51
3,142
4,224
5,269
6,295
7,327
8,350
9,379
10,391
11,451
12,478
13,535
14,592
15,637
16,656
17,721
18,761
19,769
20,773
21,844
22,910
23,966
24,1019
25,1084
26,1113
27,1116
28,1140
29,1163
30,1212
31,1225
32,1236
33,1243
34,1253
35,1316
36,1360
37,1396
38,1402
39,1418
40,1442
41,1460
42,1474
43,1502
44,1543
45,1584
46,1604
47,1606
48,1648
49,1691
50,1698
51,1710
52,1745
53,1751
54,1782
55,1815
56,1840
57,1862
58,1869
59,1891
60,1925
61,1952
62,1970
63,2000
64,2010
65,2030
66,2047
67,2077
68,2084
69,2086
70,2096
71,2117
72,2143
73,2159
74,2166
75,2185
76,2204
77,2215
78,2231
79,2249
80,2261
81,2277
82,2281
83,2284
84,2288
85,2290
86,2302
87,2308
88,2316
89,2320
90,2323
91,2324
92,2326
93,2331
94,2332
95,2333
96,2334
97,2335
1,3
2,42
3,67
4,122
5,199
6,243
7,315
8,396
9,481
10,527
11,599
12,603
13,669
14,750
15,800
16,881
17,915
18,941
19,1012
20,1032
21,1055
22,1119
23,1168
24,1188
25,1251
26,1297
27,1335
28,1346
29,1412
30,1443
31,1464
32,1508
33,1560
34,1576
35,1577
36,1637
37,1671
38,1712
39,1733
40,1779
41,1831
42,1856
43,1879
44,1889
45,1901
46,1935
47,1963
48,1999
49,2019
50,2030
51,2036
52,2072
53,2098
54,2099
55,2131
56,2158
57,2176
58,2201
59,2239
60,2244
61,2270
62,2282
63,2306
64,2321
65,2332
66,2348
67,2374
68,2381
69,2395
70,2404
71,2406
72,2416
73,2439
74,2461
75,2477
76,2491
77,2509
78,2522
79,2523
80,2540
81,2544
82,2553
83,2559
84,2561
85,2570
86,2579
87,2586
88,2596
89,2603
90,2610
91,2617
92,2619
93,2621
94,2622
95,2623
96,2624
97,2625
1,62
2,116
3,183
4,204
5,230
6,249
7,304
8,355
9,388
10,407
11,455
12,530
13,582
14,620
15,665
16,701
17,759
18,815
19,845
20,895
21,939
22,959
23,1021
24,1022
25,1086
26,1113
27,1161
28,1164
29,1190
30,1229
31,1247
32,1298
33,1361
34,1366
35,1373
36,1407
37,1422
38,1458
39,1501
40,1505
41,1544
42,1579
43,1622
44,1671
45,1689
46,1711
47,1743
48,1748
49,1773
50,1808
51,1815
52,1857
53,1862
54,1884
55,1910
56,1937
57,1970
58,2002
59,2035
60,2063
61,2078
62,2103
63,2137
64,2159
65,2172
66,2184
67,2210
68,2233
69,2240
70,2255
71,2272
72,2280
73,2292
74,2298
75,2310
76,2320
77,2324
78,2326
79,2343
80,2351
81,2361
82,2365
83,2373
84,2382
85,2386
86,2398
87,2409
88,2419
89,2422
90,2426
91,2431
92,2432
93,2435
94,2437
95,2439
96,2441
97,2442
1,17
2,67
3,107
4,115
5,186
6,222
7,272
8,317
9,368
10,442
11,476
12,494
13,545
14,590
15,620
16,670
17,682
18,715
19,744
20,780
21,855
22,908
23,932
24,972
25,984
26,1012
27,1019
28,1040
29,1090
30,1146
31,1152
32,1178
33,1238
34,1272
